     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,10/23/2010-10/29/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00055153,00001797,00000204,00000824,00000230,00017994,00036841,00000037,00003979,00001936,00000531,00000953,00000000,00001163,00005568,00000600,00000149,00000000,00000348,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017333,00000530,00000046,00000165,00000013,00004083,00012671,00000015,00000396,00000738,00000097,00000404,00000000,00000108,00003912,00000133,00000068,00000000,00000079,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003637,00000116,00000006,00000046,00000000,00001721,00001516,00000003,00000026,00000221,00000004,00000013,00000000,00000012,00000192,00000019,00000002,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008702,00000263,00000014,00000132,00000000,00003291,00004872,00000007,00000051,00000270,00000006,00000045,00000000,00000006,00000527,00000026,00000005,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009699,00000418,00000028,00000172,00000004,00003264,00005986,00000001,00000035,00000329,00000007,00000057,00000000,00000006,00000411,00000006,00000023,00000000,00000017,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009534,00000351,00000047,00000153,00000000,00004464,00006575,00000003,00000106,00000548,00000008,00000089,00000000,00000012,00000638,00000029,00000021,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006643,00000219,00000048,00000062,00000000,00002590,00003981,00000005,00000048,00000210,00000001,00000052,00000000,00000005,00000331,00000001,00000008,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006265,00000207,00000040,00000052,00000003,00002412,00003167,00000002,00000048,00000227,00000001,00000062,00000000,00000011,00000246,00000012,00000004,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005818,00000210,00000020,00000087,00000007,00002671,00003333,00000006,00000068,00000324,00000001,00000022,00000000,00000001,00000260,00000016,00000003,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00067137,00002910,00000315,00001029,00000071,00024349,00052579,00000048,00002445,00003240,00000218,00000555,00000000,00000239,00002931,00000416,00000290,00000000,00000715,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00215673,00007613,00000415,00001629,00000057,00027881,00082069,00000096,00003290,00003401,00000227,00002550,00000000,00000189,00005803,00001848,00000411,00000000,00000881,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00192591,00006578,00000434,00001572,00002999,00029064,00085155,00000096,00003365,00004295,00000709,00002075,00000000,00010806,00007027,00001957,00000556,00000000,00001090,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00049100,00001866,00000160,00000654,00000723,00010630,00036498,00000029,00001021,00001599,00000293,00000555,00000000,00003880,00003781,00000437,00000160,00000000,00000359,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00088237,00002566,00000178,00000654,00000592,00019540,00064162,00000052,00002548,00002839,00000526,00001411,00000000,00002929,00008448,00001012,00000396,00000000,00000518,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00068191,00002174,00000083,00000312,00000820,00009424,00032568,00000027,00001106,00001273,00000292,00001984,00000000,00002883,00002571,00000971,00000230,00000000,00000393,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00019569,00000890,00000053,00000173,00000043,00004617,00015086,00000020,00000372,00000674,00000094,00000416,00000000,00000169,00000726,00000210,00000084,00000000,00000150,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00088607,00004189,00000169,00000858,00000521,00013826,00060399,00000073,00000950,00001917,00000288,00002134,00000000,00002415,00003140,00001101,00000331,00000000,00000597,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00092729,00006425,00000666,00003021,00000011,00044786,00126069,00000120,00001655,00003804,00000097,00000592,00000000,00000131,00006959,00000301,00000166,00000000,00000251,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00033258,00001754,00000194,00000991,00000009,00015065,00035757,00000058,00000526,00002136,00000101,00000494,00000000,00000067,00004857,00000128,00000025,00000000,00000072,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00143040,00006266,00000361,00001450,00000473,00033475,00111910,00000070,00003370,00004170,00000684,00003354,00000000,00001498,00005832,00001200,00000553,00000000,00000728,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00087476,00003545,00000213,00001027,00000079,00022515,00086939,00000066,00001764,00003617,00000505,00002073,00000000,00000278,00005054,00000673,00000417,00000000,00000464,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00173200,00007244,00000582,00002135,00000522,00055405,00148986,00000111,00006174,00008108,00001947,00002503,00000000,00001835,00008619,00000964,00000510,00000000,00000883,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00145005,00005145,00000426,00001355,00000372,00028534,00100617,00000077,00002504,00003504,00000402,00002505,00000000,00001551,00004926,00001120,00000568,00000000,00000601,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00046909,00001406,00000201,00000628,00000195,00021223,00026439,00000040,00001268,00002848,00000071,00000193,00000000,00000870,00003490,00000138,00000072,00000000,00005612,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00063233,00001587,00000402,00001323,00000010,00041689,00049390,00000109,00001347,00007679,00000144,00000346,00000000,00000060,00010341,00000099,00000066,00000000,00000219,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00061956,00001886,00000095,00000489,00001058,00008585,00048074,00000019,00000995,00001452,00000242,00001350,00000000,00007114,00004205,00000846,00000269,00000000,00000282,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00045820,00002156,00000160,00000642,00000223,00011673,00038056,00000036,00001255,00001977,00000145,00000707,00000000,00001624,00013259,00000402,00000252,00000000,00000284,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00144771,00004998,00000312,00001267,00000738,00027581,00088744,00000075,00004018,00004705,00001537,00002057,00000000,00003702,00017198,00001137,00000477,00000000,00000908,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00055822,00002195,00000145,00000620,00000425,00014271,00048010,00000054,00001133,00002457,00000236,00000823,00000000,00002172,00005192,00000466,00000208,00000000,00000243,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00101053,00004156,00000347,00000904,00001352,00021248,00048175,00000065,00002116,00002946,00000416,00001285,00000000,00006410,00004336,00001197,00000299,00000000,00000417,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00082270,00002851,00000224,00000941,00000117,00018671,00078221,00000048,00001400,00002618,00000425,00001597,00000000,00000266,00003445,00000754,00000387,00000000,00000282,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00187331,00005957,00000411,00001628,00000479,00068581,00112288,00000096,00011750,00008013,00000853,00001747,00000000,00001254,00006618,00001142,00000513,00000000,00001554,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00015634,00001092,00000104,00000330,00000021,00006463,00015963,00000018,00000310,00001190,00000032,00000100,00000000,00000037,00001264,00000137,00000059,00000000,00000138,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00054990,00003083,00000310,00000838,00000084,00019041,00052155,00000069,00000728,00002901,00000129,00000220,00000000,00000381,00003217,00000422,00000349,00000000,00000271,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00011727,00000709,00000065,00000236,00000000,00006419,00007608,00000025,00000120,00000756,00000009,00000027,00000000,00000006,00001020,00000003,00000014,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00008906,00000449,00000086,00000222,00000002,00007797,00008160,00000018,00000162,00000763,00000011,00000026,00000000,00000008,00000978,00000023,00000011,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00006048,00000220,00000020,00000084,00000000,00001476,00003275,00000001,00000087,00000159,00000003,00000031,00000000,00000009,00000458,00000060,00000029,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00010648,00000495,00000063,00000165,00000042,00004975,00007813,00000019,00000136,00000821,00000009,00000031,00000000,00000094,00001042,00000082,00000030,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00014212,00001029,00000127,00000396,00000000,00006985,00013029,00000024,00000191,00000947,00000085,00000133,00000000,00000019,00001560,00000089,00000021,00000000,00000038,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00044283,00002118,00000201,00000538,00000388,00012937,00034073,00000038,00001636,00001989,00002323,00000869,00000000,00002445,00007084,00000429,00000181,00000000,00000206,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00011200,00000298,00000033,00000136,00000058,00005834,00005748,00000005,00001586,00000599,00000156,00000177,00000000,00000411,00000914,00000081,00000023,00000000,00000089,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00053958,00002417,00000100,00000443,00000563,00009977,00047264,00000019,00001516,00001590,00001086,00001086,00000000,00003297,00003342,00000656,00000276,00000000,00000313,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00089848,00004387,00000202,00001344,00000331,00024345,00063764,00000070,00003239,00003842,00000678,00000930,00000000,00001656,00020862,00000707,00000391,00000000,00000507,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00075023,00002878,00000095,00000387,00001416,00007556,00030858,00000013,00001088,00001164,00000246,00001105,00000000,00004811,00001441,00001053,00000258,00000000,00000221,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00202939,00007353,00000318,00001247,00002426,00035532,00114409,00000104,00005731,00004923,00000973,00002805,00000000,00009031,00006732,00002251,00000823,00000000,00001075,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00100010,00003952,00000163,00000813,00001023,00019405,00084033,00000051,00001146,00003107,00000748,00002191,00000000,00005132,00005726,00001458,00000540,00000000,00000392,00000000,00000000,00000000,                                                                                                                                        
