     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,07/23/2011-07/29/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00075295,00002063,00000298,00000852,00000238,00024230,00038844,00000000,00000000,00000000,00000515,00000913,00000000,00000980,00002359,00000779,00000204,00000000,00000672,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00019751,00000498,00000052,00000194,00000027,00005192,00013820,00000000,00000000,00000000,00000049,00000277,00000000,00000103,00000585,00000137,00000097,00000000,00000112,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003736,00000124,00000012,00000025,00000000,00001771,00001268,00000000,00000000,00000000,00000002,00000026,00000000,00000012,00000097,00000011,00000007,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00009089,00000281,00000034,00000138,00000004,00003410,00004119,00000000,00000000,00000000,00000001,00000066,00000000,00000001,00000209,00000021,00000008,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00010259,00000423,00000025,00000145,00000000,00003598,00005521,00000000,00000000,00000000,00000015,00000040,00000000,00000004,00000170,00000030,00000028,00000000,00000033,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00010141,00000401,00000053,00000150,00000000,00004997,00006047,00000000,00000000,00000000,00000004,00000088,00000000,00000006,00000225,00000037,00000019,00000000,00000030,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00007311,00000221,00000037,00000050,00000002,00002824,00003249,00000000,00000000,00000000,00000001,00000052,00000000,00000011,00000128,00000025,00000014,00000000,00000017,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006492,00000198,00000034,00000048,00000000,00002472,00002540,00000000,00000000,00000000,00000000,00000038,00000000,00000012,00000144,00000020,00000010,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005931,00000185,00000033,00000063,00000004,00002512,00002490,00000000,00000000,00000000,00000002,00000021,00000000,00000001,00000115,00000033,00000018,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00101324,00002790,00000375,00000955,00000099,00039810,00054085,00000000,00000000,00000000,00000248,00000457,00000000,00000204,00002114,00000682,00000399,00000000,00001268,00000000,00000000,00000000,                                                                                                                                        
