     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/16/2013-03/22/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00035745,00001331,00000140,00000535,00000046,00013803,00020636,00000000,00000000,00000000,00000224,00000567,00000249,00000119,00001651,00000481,00000213,00000000,00000450,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003101,00000195,00000013,00000030,00000000,00001613,00001210,00000000,00000000,00000000,00000000,00000029,00000037,00000010,00000043,00000010,00000000,00000000,00000014,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00007458,00000304,00000025,00000073,00000000,00003421,00003668,00000000,00000000,00000000,00000012,00000080,00000083,00000005,00000202,00000018,00000023,00000000,00000042,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00008231,00000433,00000028,00000096,00000001,00003326,00004597,00000000,00000000,00000000,00000009,00000058,00000049,00000000,00000174,00000040,00000036,00000000,00000044,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00008309,00000412,00000027,00000130,00000001,00004570,00005100,00000000,00000000,00000000,00000014,00000078,00000113,00000013,00000211,00000055,00000037,00000000,00000047,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00005968,00000269,00000019,00000055,00000007,00002483,00002864,00000000,00000000,00000000,00000001,00000037,00000028,00000008,00000089,00000029,00000024,00000000,00000033,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00005134,00000173,00000014,00000041,00000004,00002219,00002339,00000000,00000000,00000000,00000001,00000029,00000051,00000009,00000130,00000034,00000015,00000000,00000028,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00004325,00000176,00000012,00000055,00000007,00002273,00002083,00000000,00000000,00000000,00000000,00000022,00000027,00000004,00000084,00000037,00000011,00000000,00000013,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00091161,00004307,00000294,00001039,00000099,00042040,00056696,00000000,00000000,00000000,00000218,00000582,00000557,00000208,00003194,00001094,00000580,00000000,00001641,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00248727,00009261,00000364,00001519,00000133,00036003,00076047,00000000,00000000,00000000,00000206,00002033,00002143,00000136,00003452,00004077,00000863,00000000,00001586,00000000,00000000,00000000,00000000,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00217902,00008026,00000464,00001396,00004083,00040436,00078727,00000000,00000000,00000000,00000714,00001706,00001256,00007578,00003604,00004403,00000943,00000000,00001903,00000000,00000000,00000000,00000000,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00054227,00002450,00000189,00000641,00000917,00015241,00035579,00000000,00000000,00000000,00000275,00000590,00000217,00002627,00001366,00001107,00000381,00000000,00000549,00000000,00000000,00000000,00000000,                                                                                                                               
R014,FULTON STREET                 ,00092273,00002922,00000175,00000517,00000690,00023232,00055377,00000000,00000000,00000000,00000429,00001160,00000240,00001912,00003372,00001692,00000701,00000000,00000873,00000000,00000000,00000000,00000000,                                                                                                                               
R015,FIFTH AVENUE                  ,00079915,00002701,00000052,00000346,00001053,00015046,00033102,00000000,00000000,00000000,00000204,00001711,00000176,00001996,00002847,00002111,00000397,00000000,00000743,00000000,00000000,00000000,00000000,                                                                                                                               
R016,LEXINGTON AVENUE              ,00021809,00001032,00000047,00000210,00000097,00005907,00015151,00000000,00000000,00000000,00000092,00000364,00000036,00000163,00000920,00000397,00000169,00000000,00000181,00000000,00000000,00000000,00000000,                                                                                                                               
R017,LEXINGTON AVENUE              ,00104249,00005088,00000213,00001017,00000799,00020896,00060961,00000000,00000000,00000000,00000244,00001810,00000434,00001792,00003935,00002543,00000810,00000000,00000975,00000000,00000000,00000000,00000000,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00098925,00007143,00000778,00002708,00000018,00054144,00115870,00000000,00000000,00000000,00000079,00000572,00001023,00000085,00004850,00000630,00000489,00000000,00000515,00000000,00000000,00000000,00000000,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00034764,00001925,00000254,00000883,00000006,00017867,00031503,00000000,00000000,00000000,00000058,00000580,00000489,00000036,00002450,00000379,00000133,00000000,00000165,00000000,00000000,00000000,00000000,                                                                                                                               
