     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,02/05/2011-02/11/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00053125,00001734,00000240,00000745,00000497,00015465,00036720,00000000,00000000,00000000,00000468,00001014,00000000,00001089,00002413,00000602,00000154,00000000,00000318,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00018554,00000536,00000046,00000183,00000033,00004051,00014207,00000000,00000000,00000000,00000066,00000333,00000000,00000088,00000645,00000170,00000065,00000000,00000098,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003859,00000102,00000010,00000037,00000004,00001745,00001525,00000000,00000000,00000000,00000003,00000011,00000000,00000014,00000094,00000013,00000005,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00009551,00000291,00000020,00000162,00000004,00003477,00004402,00000000,00000000,00000000,00000007,00000048,00000000,00000002,00000233,00000026,00000009,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00010276,00000422,00000020,00000167,00000002,00003459,00006155,00000000,00000000,00000000,00000007,00000040,00000000,00000000,00000190,00000012,00000029,00000000,00000033,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00010298,00000393,00000033,00000144,00000000,00004907,00006361,00000000,00000000,00000000,00000008,00000090,00000000,00000008,00000234,00000029,00000036,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00007386,00000233,00000054,00000062,00000005,00002619,00003685,00000000,00000000,00000000,00000002,00000065,00000000,00000005,00000123,00000016,00000008,00000000,00000014,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00007164,00000224,00000030,00000063,00000003,00002500,00003103,00000000,00000000,00000000,00000003,00000035,00000000,00000006,00000155,00000008,00000011,00000000,00000031,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005910,00000182,00000033,00000063,00000003,00002611,00002807,00000000,00000000,00000000,00000003,00000026,00000000,00000001,00000100,00000032,00000016,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00075687,00003117,00000360,00000984,00000191,00025402,00053308,00000000,00000000,00000000,00000190,00000521,00000000,00000233,00001816,00000549,00000329,00000000,00000693,00000000,00000000,00000000,                                                                                                                                        
