     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/19/2010-06/25/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00072628,00002188,00000280,00000987,00000261,00020852,00042667,00000061,00007272,00002759,00000555,00001102,00000000,00001269,00006107,00000604,00000124,00000000,00000459,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00019307,00000582,00000039,00000180,00000024,00004338,00013863,00000007,00000470,00000737,00000077,00000484,00000000,00000104,00004381,00000107,00000076,00000000,00000073,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00002808,00000079,00000007,00000037,00000000,00001268,00001145,00000005,00000023,00000170,00000001,00000007,00000000,00000004,00000155,00000014,00000000,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00006839,00000223,00000020,00000091,00000002,00002482,00003812,00000000,00000041,00000234,00000002,00000042,00000000,00000005,00000410,00000014,00000000,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00007799,00000316,00000031,00000126,00000000,00002379,00004626,00000001,00000040,00000336,00000003,00000065,00000000,00000011,00000308,00000003,00000016,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00007723,00000270,00000024,00000099,00000000,00003515,00004709,00000002,00000091,00000350,00000002,00000060,00000000,00000013,00000516,00000009,00000010,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00005648,00000156,00000050,00000060,00000006,00002001,00002955,00000007,00000044,00000179,00000003,00000043,00000000,00000006,00000282,00000004,00000005,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005059,00000164,00000025,00000047,00000005,00001686,00002267,00000002,00000061,00000175,00000000,00000045,00000000,00000016,00000234,00000007,00000008,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00004446,00000125,00000014,00000061,00000009,00001753,00002206,00000000,00000047,00000193,00000000,00000017,00000000,00000001,00000219,00000014,00000009,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00068085,00002607,00000298,00000960,00000130,00023808,00047686,00000032,00002887,00003261,00000206,00000555,00000000,00000268,00002935,00000392,00000204,00000000,00000600,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00214425,00007688,00000445,00001670,00000065,00027316,00079089,00000074,00003915,00003620,00000200,00002444,00000000,00000196,00006084,00001619,00000324,00000000,00000749,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00191565,00006192,00000451,00001389,00003298,00026945,00078945,00000070,00003848,00004273,00000629,00001979,00000000,00010656,00006998,00001582,00000401,00000000,00000987,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00045922,00001674,00000155,00000647,00000710,00010041,00033463,00000031,00001185,00001582,00000282,00000545,00000000,00003897,00003462,00000376,00000162,00000000,00000288,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00089473,00002507,00000176,00000646,00000607,00019394,00063770,00000053,00002950,00003329,00000523,00001433,00000000,00002918,00008258,00000885,00000352,00000000,00000447,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00064211,00001908,00000050,00000301,00000943,00008048,00030746,00000012,00001313,00001185,00000332,00001838,00000000,00002833,00002267,00000726,00000116,00000000,00000355,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00018777,00000688,00000058,00000168,00000028,00004549,00014987,00000012,00000348,00000672,00000094,00000427,00000000,00000177,00000727,00000174,00000075,00000000,00000114,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00083248,00003759,00000161,00000810,00000569,00012678,00056513,00000033,00001109,00001952,00000313,00002046,00000000,00002436,00003086,00000950,00000293,00000000,00000433,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00093352,00006407,00000673,00002821,00000013,00044070,00123328,00000109,00002103,00004009,00000085,00000624,00000000,00000122,00006940,00000223,00000145,00000000,00000333,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00032155,00001669,00000227,00000948,00000006,00014665,00034203,00000061,00000789,00002311,00000085,00000505,00000000,00000052,00004690,00000087,00000028,00000000,00000069,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00139872,00005688,00000328,00001408,00000610,00032247,00106735,00000055,00004689,00004552,00000638,00003133,00000000,00001534,00005808,00001021,00000408,00000000,00000632,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00085501,00003332,00000253,00000984,00000092,00022326,00082043,00000051,00002369,00003789,00000502,00001943,00000000,00000282,00004749,00000652,00000286,00000000,00000436,00000000,00000000,00000000,                                                                                                                                        
