     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/28/2010-09/03/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00066428,00001974,00000294,00000844,00000323,00020613,00037660,00000038,00006051,00002620,00000553,00001012,00000000,00001249,00005618,00000556,00000143,00000000,00000532,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00016796,00000464,00000038,00000143,00000028,00003695,00011103,00000013,00000371,00000690,00000057,00000397,00000000,00000088,00003759,00000084,00000072,00000000,00000089,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003478,00000107,00000001,00000049,00000000,00001583,00001296,00000002,00000034,00000167,00000002,00000017,00000000,00000005,00000161,00000010,00000002,00000000,00000006,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008678,00000240,00000016,00000109,00000000,00003079,00004454,00000000,00000062,00000214,00000001,00000035,00000000,00000005,00000383,00000023,00000002,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009666,00000393,00000020,00000127,00000000,00003085,00005594,00000002,00000059,00000294,00000012,00000056,00000000,00000007,00000364,00000007,00000022,00000000,00000035,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009571,00000354,00000050,00000120,00000000,00004420,00005681,00000002,00000107,00000457,00000008,00000079,00000000,00000015,00000560,00000027,00000011,00000000,00000017,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006744,00000232,00000037,00000058,00000001,00002352,00003475,00000005,00000060,00000231,00000002,00000053,00000000,00000006,00000324,00000006,00000005,00000000,00000013,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006142,00000189,00000035,00000050,00000004,00002160,00002744,00000005,00000059,00000208,00000001,00000048,00000000,00000011,00000218,00000014,00000003,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005243,00000195,00000017,00000060,00000007,00002212,00002787,00000007,00000048,00000266,00000004,00000015,00000000,00000001,00000264,00000015,00000008,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00062582,00002226,00000247,00000844,00000095,00022769,00043230,00000043,00002924,00003334,00000194,00000462,00000000,00000210,00002709,00000314,00000210,00000000,00000629,00000000,00000000,00000000,                                                                                                                                        
