     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/26/2011-04/01/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00060507,00001816,00000268,00000823,00000236,00019274,00038421,00000000,00000000,00000000,00000492,00000940,00000000,00001108,00002335,00000677,00000157,00000000,00000511,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00018026,00000528,00000044,00000157,00000023,00004202,00014529,00000000,00000000,00000000,00000084,00000320,00000000,00000104,00000685,00000161,00000078,00000000,00000100,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00002944,00000104,00000021,00000034,00000000,00001500,00001265,00000000,00000000,00000000,00000000,00000021,00000000,00000014,00000084,00000019,00000008,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00007244,00000209,00000007,00000126,00000000,00002724,00003859,00000000,00000000,00000000,00000007,00000035,00000000,00000001,00000196,00000020,00000014,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00008072,00000334,00000022,00000120,00000001,00002695,00004986,00000000,00000000,00000000,00000001,00000046,00000000,00000004,00000161,00000012,00000016,00000000,00000033,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00008078,00000358,00000030,00000106,00000000,00003912,00005458,00000000,00000000,00000000,00000005,00000104,00000000,00000003,00000180,00000028,00000032,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006056,00000180,00000035,00000047,00000000,00002171,00003059,00000000,00000000,00000000,00000001,00000051,00000000,00000011,00000105,00000011,00000004,00000000,00000013,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005704,00000177,00000026,00000060,00000004,00001900,00002510,00000000,00000000,00000000,00000005,00000038,00000000,00000006,00000114,00000014,00000008,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00004655,00000157,00000020,00000050,00000005,00002056,00002413,00000000,00000000,00000000,00000001,00000014,00000000,00000001,00000081,00000022,00000009,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00083337,00003281,00000348,00001017,00000098,00030683,00056360,00000000,00000000,00000000,00000214,00000568,00000000,00000248,00001990,00000650,00000365,00000000,00001041,00000000,00000000,00000000,                                                                                                                                        
