     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/19/2011-03/25/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00062079,00001701,00000244,00000806,00000279,00021039,00038866,00000000,00000000,00000000,00000487,00000923,00000000,00001075,00002351,00000684,00000176,00000000,00000567,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017910,00000489,00000048,00000167,00000022,00004392,00014320,00000000,00000000,00000000,00000073,00000354,00000000,00000082,00000665,00000164,00000092,00000000,00000121,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003609,00000117,00000028,00000037,00000000,00001796,00001588,00000000,00000000,00000000,00000001,00000010,00000000,00000016,00000099,00000017,00000004,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00009162,00000293,00000007,00000146,00000003,00003796,00005046,00000000,00000000,00000000,00000008,00000062,00000000,00000002,00000249,00000027,00000016,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009790,00000378,00000021,00000144,00000000,00003424,00006114,00000000,00000000,00000000,00000003,00000055,00000000,00000002,00000176,00000015,00000020,00000000,00000034,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009730,00000391,00000050,00000135,00000000,00004870,00006572,00000000,00000000,00000000,00000008,00000093,00000000,00000004,00000223,00000021,00000027,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006842,00000209,00000056,00000056,00000000,00002716,00003760,00000000,00000000,00000000,00000002,00000051,00000000,00000015,00000125,00000011,00000007,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006704,00000200,00000036,00000062,00000004,00002387,00002978,00000000,00000000,00000000,00000004,00000039,00000000,00000011,00000143,00000012,00000020,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005534,00000177,00000032,00000071,00000002,00002675,00002956,00000000,00000000,00000000,00000006,00000010,00000000,00000002,00000089,00000024,00000007,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00087156,00003414,00000361,00001062,00000112,00032797,00057386,00000000,00000000,00000000,00000223,00000548,00000000,00000253,00001976,00000595,00000410,00000000,00001083,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00243384,00007838,00000470,00001674,00000079,00031474,00081617,00000000,00000000,00000000,00000218,00002358,00000000,00000154,00002640,00002380,00000533,00000000,00000908,00000000,00000000,00000000,                                                                                                                                        
