     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/07/2010-08/13/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00074385,00002104,00000214,00000967,00000432,00022436,00038941,00000058,00008951,00003481,00000606,00001089,00000000,00001116,00005603,00000586,00000135,00000000,00000469,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017997,00000501,00000032,00000173,00000041,00004367,00011852,00000010,00000523,00000907,00000059,00000397,00000000,00000107,00003732,00000097,00000065,00000000,00000146,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003516,00000106,00000003,00000050,00000001,00001565,00001344,00000005,00000037,00000174,00000001,00000014,00000000,00000005,00000176,00000009,00000002,00000000,00000007,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008600,00000264,00000012,00000114,00000000,00003092,00004402,00000002,00000065,00000280,00000004,00000043,00000000,00000006,00000425,00000016,00000000,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009355,00000423,00000020,00000126,00000000,00003007,00005484,00000003,00000072,00000391,00000002,00000078,00000000,00000009,00000358,00000008,00000020,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00008956,00000334,00000028,00000136,00000001,00004217,00005369,00000012,00000127,00000414,00000016,00000082,00000000,00000016,00000561,00000012,00000008,00000000,00000020,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006845,00000197,00000055,00000059,00000011,00002403,00003388,00000005,00000041,00000228,00000003,00000047,00000000,00000005,00000330,00000004,00000009,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005884,00000187,00000039,00000054,00000004,00002053,00002581,00000001,00000084,00000231,00000004,00000043,00000000,00000013,00000246,00000010,00000006,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005210,00000184,00000015,00000051,00000002,00002245,00002562,00000005,00000067,00000253,00000002,00000021,00000000,00000001,00000273,00000013,00000012,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00068866,00002331,00000256,00000869,00000161,00024500,00044263,00000047,00003608,00003950,00000162,00000464,00000000,00000222,00002868,00000312,00000191,00000000,00000636,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00216977,00007448,00000479,00001604,00000097,00029304,00075421,00000076,00005362,00004263,00000223,00002371,00000000,00000200,00005659,00001587,00000330,00000000,00000872,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00188234,00005817,00000422,00001395,00004899,00028556,00073563,00000080,00004608,00004934,00000619,00001983,00000000,00010061,00006608,00001520,00000403,00000000,00001048,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00043967,00001571,00000169,00000580,00001174,00010662,00030823,00000027,00001112,00002075,00000267,00000496,00000000,00003536,00003466,00000325,00000136,00000000,00000259,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00089561,00002366,00000141,00000625,00000873,00020562,00060359,00000048,00003686,00004109,00000496,00001378,00000000,00002816,00008214,00000918,00000343,00000000,00000516,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00059321,00001747,00000039,00000270,00001425,00008221,00027798,00000015,00001422,00001344,00000279,00001684,00000000,00002713,00002135,00000732,00000131,00000000,00000285,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00020569,00000753,00000060,00000163,00000077,00005780,00014768,00000011,00000673,00000906,00000107,00000381,00000000,00000169,00000729,00000217,00000068,00000000,00000162,00000000,00000000,00000000,                                                                                                                                        
