     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,09/10/2011-09/16/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R001,WHITEHALL STREET              ,00069475,00002277,00000308,00000867,00000497,00024055,00038684,00000000,00000000,00000000,00000000,00000941,00000000,00001009,00002411,00000836,00000188,00000000,00000750,00000000,00000000,00000000,00003214,                                                                                                                               
R002,FULTON ST & BROADWAY NASSAU   ,00019618,00000583,00000037,00000176,00000039,00004884,00013995,00000000,00000000,00000000,00000000,00000256,00000000,00000085,00000631,00000163,00000110,00000000,00000140,00000000,00000000,00000000,00001001,                                                                                                                               
R003,CYPRESS HILLS                 ,00004223,00000136,00000025,00000028,00000001,00001899,00001390,00000000,00000000,00000000,00000000,00000015,00000000,00000015,00000111,00000010,00000000,00000000,00000005,00000000,00000000,00000000,00000838,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00010253,00000331,00000028,00000122,00000004,00003775,00004476,00000000,00000000,00000000,00000000,00000064,00000000,00000001,00000239,00000026,00000018,00000000,00000018,00000000,00000000,00000000,00004485,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00010599,00000439,00000029,00000164,00000000,00003837,00005950,00000000,00000000,00000000,00000000,00000047,00000000,00000002,00000181,00000024,00000024,00000000,00000034,00000000,00000000,00000000,00001932,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00010773,00000457,00000052,00000120,00000001,00005417,00006250,00000000,00000000,00000000,00000000,00000097,00000000,00000014,00000223,00000048,00000017,00000000,00000029,00000000,00000000,00000000,00001826,                                                                                                                               
R007,104TH STREET                  ,00007732,00000270,00000037,00000062,00000002,00002991,00003519,00000000,00000000,00000000,00000000,00000062,00000000,00000008,00000119,00000029,00000008,00000000,00000038,00000000,00000000,00000000,00001220,                                                                                                                               
