     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/21/2010-08/27/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00063174,00001868,00000230,00000853,00000218,00020375,00035199,00000047,00006752,00002628,00000504,00000998,00000000,00001087,00005305,00000506,00000126,00000000,00000397,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017094,00000491,00000050,00000161,00000031,00004069,00011050,00000005,00000444,00000730,00000067,00000381,00000000,00000101,00003638,00000075,00000060,00000000,00000099,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003389,00000105,00000006,00000045,00000000,00001431,00001326,00000000,00000040,00000163,00000001,00000007,00000000,00000005,00000145,00000012,00000004,00000000,00000003,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008309,00000224,00000018,00000110,00000000,00003133,00004235,00000003,00000063,00000260,00000004,00000041,00000000,00000006,00000389,00000022,00000000,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009206,00000374,00000017,00000120,00000000,00003018,00005219,00000003,00000071,00000319,00000006,00000060,00000000,00000009,00000334,00000007,00000018,00000000,00000043,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00008874,00000290,00000050,00000112,00000000,00004242,00005132,00000005,00000098,00000389,00000015,00000073,00000000,00000012,00000529,00000024,00000008,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006562,00000203,00000042,00000060,00000000,00002278,00003311,00000006,00000058,00000208,00000002,00000054,00000000,00000005,00000300,00000004,00000003,00000000,00000014,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005768,00000177,00000038,00000057,00000001,00002126,00002460,00000003,00000047,00000237,00000007,00000043,00000000,00000011,00000229,00000012,00000003,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005046,00000173,00000022,00000053,00000003,00002108,00002550,00000007,00000039,00000243,00000000,00000016,00000000,00000010,00000246,00000015,00000009,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00063426,00002189,00000264,00000875,00000082,00023730,00043256,00000053,00003112,00003316,00000198,00000496,00000000,00000209,00002721,00000315,00000161,00000000,00000612,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00219599,00007305,00000399,00001585,00000075,00029719,00074501,00000076,00004798,00003737,00000254,00002396,00000000,00000173,00005564,00001653,00000292,00000000,00000921,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00179350,00005669,00000411,00001423,00002722,00028442,00070510,00000074,00004139,00004410,00000616,00001753,00000000,00009128,00006408,00001500,00000419,00000000,00001068,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00042683,00001570,00000180,00000597,00000597,00010389,00030085,00000026,00001268,00001634,00000239,00000488,00000000,00003081,00003361,00000324,00000121,00000000,00000304,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00086086,00002416,00000162,00000659,00000512,00020322,00057720,00000046,00003500,00003376,00000449,00001328,00000000,00002477,00007780,00000820,00000337,00000000,00000534,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00055922,00001662,00000048,00000289,00000719,00008316,00026992,00000012,00001177,00001174,00000300,00001543,00000000,00002375,00002113,00000744,00000151,00000000,00000296,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00020047,00000786,00000050,00000209,00000052,00005930,00015002,00000013,00000626,00000770,00000128,00000382,00000000,00000178,00000802,00000212,00000072,00000000,00000183,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00065413,00002777,00000122,00000624,00000355,00010381,00043086,00000025,00000742,00001416,00000206,00001630,00000000,00001783,00002393,00000745,00000228,00000000,00000358,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00088883,00005666,00000644,00002555,00000006,00041994,00112306,00000122,00001961,00003737,00000067,00000511,00000000,00000112,00006317,00000254,00000155,00000000,00000287,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00032037,00001547,00000204,00000891,00000011,00013769,00030532,00000074,00000807,00002057,00000069,00000505,00000000,00000090,00004230,00000109,00000027,00000000,00000072,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00132974,00005528,00000317,00001293,00000463,00034425,00099350,00000058,00004958,00004781,00000594,00003067,00000000,00001319,00005700,00000942,00000461,00000000,00000691,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00083437,00003058,00000248,00000887,00000089,00023040,00078264,00000056,00002525,00004156,00000413,00001962,00000000,00000247,00004737,00000568,00000320,00000000,00000426,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00173534,00006409,00000589,00002036,00000454,00055786,00131885,00000110,00008612,00008949,00001709,00002449,00000000,00001488,00008557,00000768,00000380,00000000,00000982,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00142482,00004545,00000400,00001313,00000424,00028517,00088602,00000084,00002943,00003805,00000326,00002424,00000000,00001361,00004602,00000933,00000485,00000000,00000664,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00044632,00001260,00000201,00000549,00000162,00019426,00022954,00000043,00001305,00002417,00000042,00000190,00000000,00000711,00003101,00000124,00000050,00000000,00005997,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00060619,00001396,00000422,00001257,00000020,00036620,00038555,00000113,00001611,00005931,00000110,00000300,00000000,00000123,00008871,00000063,00000051,00000000,00000180,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00055837,00001599,00000098,00000447,00000993,00008775,00042253,00000017,00001430,00001693,00000209,00001260,00000000,00006018,00003806,00000636,00000226,00000000,00000216,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00047178,00002221,00000170,00000616,00000203,00012775,00032550,00000041,00001809,00001915,00000136,00000682,00000000,00001372,00012066,00000321,00000186,00000000,00000285,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00128492,00004112,00000277,00001099,00000652,00023846,00068654,00000069,00004836,00003997,00001232,00001695,00000000,00003115,00014504,00000824,00000359,00000000,00000813,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00046234,00001610,00000133,00000453,00000390,00010828,00031075,00000043,00001248,00001797,00000143,00000628,00000000,00001757,00004017,00000338,00000156,00000000,00000296,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00093032,00003492,00000299,00000856,00001326,00020696,00040487,00000047,00002882,00003286,00000363,00001192,00000000,00005400,00003969,00000906,00000218,00000000,00000416,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00072828,00002537,00000193,00000765,00000125,00018133,00067250,00000038,00001878,00002991,00000383,00001496,00000001,00000214,00003265,00000590,00000264,00000000,00000287,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00187525,00004371,00000401,00001460,00000414,00070254,00097148,00000097,00015979,00009680,00000760,00001554,00000000,00000921,00006092,00000926,00000349,00000000,00001440,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00015736,00000874,00000086,00000310,00000029,00007120,00012765,00000019,00000436,00001408,00000054,00000091,00000000,00000032,00001118,00000074,00000020,00000000,00000129,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00049320,00002563,00000263,00000650,00000092,00017549,00040240,00000070,00000762,00002709,00000104,00000178,00000000,00000298,00002684,00000273,00000271,00000000,00000232,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00016415,00000935,00000062,00000307,00000000,00008713,00009339,00000020,00000220,00001130,00000015,00000037,00000000,00000010,00001228,00000012,00000016,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00010543,00000520,00000074,00000211,00000001,00008061,00007423,00000022,00000240,00000830,00000018,00000018,00000000,00000013,00000872,00000018,00000011,00000000,00000013,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00004446,00000209,00000019,00000082,00000000,00001759,00002701,00000001,00000091,00000191,00000002,00000017,00000000,00000004,00000460,00000019,00000004,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00012313,00000477,00000078,00000188,00000024,00006124,00007666,00000014,00000223,00000962,00000020,00000037,00000000,00000086,00001086,00000051,00000036,00000000,00000041,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00017026,00001062,00000115,00000381,00000001,00007927,00012422,00000023,00000246,00000995,00000104,00000131,00000000,00000019,00001507,00000098,00000028,00000000,00000048,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00040490,00001746,00000176,00000459,00000307,00012456,00028457,00000042,00001950,00002152,00001869,00000765,00000000,00001861,00006081,00000372,00000162,00000000,00000232,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00013361,00000324,00000054,00000129,00000051,00006410,00006043,00000007,00002180,00000855,00000162,00000118,00000000,00000284,00000931,00000050,00000026,00000000,00000125,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00049488,00001741,00000088,00000345,00000504,00010063,00040378,00000010,00001871,00001766,00000809,00001016,00000000,00002578,00002790,00000517,00000191,00000000,00000272,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00079777,00003856,00000227,00001169,00000254,00022961,00047283,00000064,00004174,00003616,00000576,00000788,00000000,00001288,00018294,00000497,00000250,00000000,00000483,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00066282,00002140,00000094,00000334,00001291,00007791,00025774,00000016,00001327,00001115,00000197,00000962,00000000,00003971,00001371,00000827,00000144,00000000,00000211,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00189847,00005895,00000317,00001227,00002006,00037240,00098905,00000097,00007338,00005365,00000803,00002543,00000000,00007635,00006233,00001840,00000591,00000000,00001095,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00090946,00003267,00000174,00000791,00000890,00019203,00073844,00000050,00001310,00003648,00000658,00001999,00000001,00004199,00005346,00001155,00000423,00000000,00000341,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00027491,00000920,00000034,00000182,00000222,00005208,00019718,00000011,00000378,00000490,00000059,00000532,00000000,00000777,00001249,00000293,00000066,00000000,00000075,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00052415,00002046,00000144,00000463,00000076,00017111,00039959,00000021,00002265,00002021,00000324,00001129,00000000,00000276,00003024,00000491,00000259,00000000,00000423,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00058518,00002579,00000158,00000676,00000153,00018610,00050819,00000034,00002272,00002943,00000347,00000943,00000000,00000808,00003189,00000601,00000198,00000000,00000353,00000000,00000000,00000000,                                                                                                                                        
