     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,10/13/2012-10/19/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R001,WHITEHALL STREET              ,00070637,00002337,00000227,00000826,00000351,00025147,00037372,00000000,00000000,00000000,00000000,00000691,00000000,00000852,00002565,00000970,00000300,00000000,00000678,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003228,00000143,00000022,00000019,00000010,00001585,00001218,00000000,00000000,00000000,00000000,00000009,00000000,00000000,00000069,00000017,00000007,00000000,00000006,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00007803,00000284,00000036,00000110,00000000,00003061,00003860,00000000,00000000,00000000,00000000,00000038,00000000,00000000,00000187,00000013,00000011,00000000,00000037,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00008853,00000415,00000062,00000114,00000002,00003134,00004730,00000000,00000000,00000000,00000000,00000048,00000000,00000001,00000144,00000041,00000022,00000000,00000036,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00008893,00000441,00000059,00000123,00000000,00004631,00005038,00000000,00000000,00000000,00000000,00000080,00000000,00000012,00000221,00000047,00000027,00000000,00000023,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00006345,00000245,00000022,00000047,00000004,00002379,00002715,00000000,00000000,00000000,00000000,00000048,00000000,00000007,00000092,00000020,00000012,00000000,00000022,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00005784,00000212,00000029,00000036,00000007,00002171,00002254,00000000,00000000,00000000,00000000,00000026,00000000,00000006,00000118,00000052,00000012,00000000,00000030,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00004826,00000184,00000057,00000048,00000003,00002228,00002194,00000000,00000000,00000000,00000000,00000008,00000000,00000006,00000090,00000054,00000009,00000000,00000013,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00099764,00003840,00000450,00001142,00000134,00041934,00058539,00000000,00000000,00000000,00000000,00000473,00000000,00000231,00002611,00000986,00000567,00000000,00001313,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00244542,00009040,00000537,00001547,00000107,00035892,00076102,00000000,00000000,00000000,00000000,00001342,00000000,00000143,00002958,00003535,00000792,00000000,00001363,00000000,00000000,00000000,00000000,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00224365,00007878,00000690,00001614,00004964,00039699,00082712,00000000,00000000,00000000,00000000,00001233,00000000,00008080,00003281,00003999,00000877,00000000,00001663,00000000,00000000,00000000,00000000,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00065445,00002233,00000271,00000709,00001122,00016116,00039659,00000000,00000000,00000000,00000000,00000461,00000000,00002848,00001266,00001126,00000391,00000000,00000480,00000000,00000000,00000000,00000000,                                                                                                                               
R014,FULTON STREET                 ,00105842,00002946,00000267,00000543,00000763,00026598,00061611,00000000,00000000,00000000,00000000,00000840,00000000,00002253,00002834,00001552,00000690,00000000,00000844,00000000,00000000,00000000,00000000,                                                                                                                               
R015,FIFTH AVENUE                  ,00081768,00002651,00000154,00000415,00001232,00014699,00034510,00000000,00000000,00000000,00000000,00001335,00000000,00002095,00002428,00001920,00000416,00000000,00000644,00000000,00000000,00000000,00000000,                                                                                                                               
