     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/27/2011-09/02/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00055196,00001731,00000226,00000667,00000239,00017306,00030098,00000000,00000000,00000000,00000000,00000765,00000000,00000773,00001866,00000585,00000153,00000000,00000504,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00016880,00000512,00000039,00000157,00000027,00004211,00011334,00000000,00000000,00000000,00000000,00000259,00000000,00000063,00000573,00000129,00000094,00000000,00000140,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003182,00000084,00000020,00000020,00000000,00001314,00001001,00000000,00000000,00000000,00000000,00000011,00000000,00000012,00000078,00000007,00000000,00000000,00000002,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008246,00000228,00000022,00000099,00000002,00002665,00003240,00000000,00000000,00000000,00000000,00000047,00000000,00000000,00000191,00000021,00000009,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00008945,00000315,00000024,00000119,00000001,00002804,00004432,00000000,00000000,00000000,00000000,00000037,00000000,00000001,00000137,00000001,00000023,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00008703,00000340,00000055,00000110,00000000,00003604,00004663,00000000,00000000,00000000,00000000,00000080,00000000,00000014,00000182,00000035,00000016,00000000,00000041,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006151,00000203,00000029,00000052,00000000,00002067,00002669,00000000,00000000,00000000,00000000,00000052,00000000,00000002,00000100,00000018,00000011,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00005457,00000173,00000037,00000048,00000000,00001911,00002064,00000000,00000000,00000000,00000000,00000030,00000000,00000004,00000097,00000024,00000011,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005054,00000173,00000027,00000042,00000008,00001946,00002003,00000000,00000000,00000000,00000000,00000016,00000000,00000000,00000085,00000024,00000010,00000000,00000030,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00070090,00002226,00000285,00000717,00000080,00026243,00037030,00000000,00000000,00000000,00000000,00000353,00000000,00000152,00001670,00000483,00000349,00000000,00000923,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00180629,00005932,00000410,00001135,00000057,00023258,00055537,00000000,00000000,00000000,00000000,00001362,00000000,00000116,00001974,00001912,00000406,00000000,00000907,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00147402,00004630,00000382,00001103,00002688,00024856,00051976,00000000,00000000,00000000,00000000,00001154,00000000,00006499,00002024,00001895,00000461,00000000,00000915,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00039784,00001478,00000143,00000543,00000683,00011076,00025133,00000000,00000000,00000000,00000000,00000347,00000000,00002291,00000655,00000408,00000190,00000000,00000282,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00075904,00002006,00000170,00000512,00000464,00016792,00045987,00000000,00000000,00000000,00000000,00000932,00000000,00001725,00001943,00000920,00000380,00000000,00000424,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00053298,00001517,00000067,00000244,00000711,00007589,00022976,00000000,00000000,00000000,00000000,00001178,00000000,00001762,00001788,00000964,00000231,00000000,00000338,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00016695,00000547,00000029,00000107,00000050,00003999,00011137,00000000,00000000,00000000,00000000,00000264,00000000,00000094,00000573,00000185,00000093,00000000,00000131,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00074709,00003062,00000204,00000629,00000564,00012077,00043015,00000000,00000000,00000000,00000000,00001266,00000000,00001475,00002152,00001178,00000409,00000000,00000467,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00081947,00005182,00000607,00002159,00000025,00034669,00086103,00000000,00000000,00000000,00000000,00000389,00000000,00000075,00003315,00000307,00000211,00000000,00000347,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00030513,00001405,00000174,00000697,00000002,00012157,00024163,00000000,00000000,00000000,00000000,00000357,00000000,00000024,00001916,00000179,00000067,00000000,00000116,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00126360,00005131,00000321,00001151,00000476,00030233,00082377,00000000,00000000,00000000,00000000,00002081,00000000,00000936,00004277,00001365,00000652,00000000,00000602,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00081537,00002863,00000228,00000856,00000068,00021348,00065778,00000000,00000000,00000000,00000000,00001445,00000000,00000136,00003834,00000894,00000469,00000000,00000470,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00149563,00005575,00000517,00001522,00000459,00045591,00101066,00000000,00000001,00000000,00000000,00001623,00000000,00000987,00004776,00001031,00000614,00000000,00000905,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00119614,00003862,00000361,00001049,00000344,00023011,00067645,00000000,00000000,00000000,00000000,00001592,00000000,00000868,00002676,00001314,00000561,00000000,00000618,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00040986,00001253,00000238,00000431,00000203,00017734,00018923,00000000,00000000,00000000,00000000,00000125,00000000,00000532,00001085,00000204,00000078,00000000,00006518,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00062162,00001414,00000403,00000979,00000008,00033371,00035249,00000000,00000000,00000000,00000000,00000220,00000000,00000049,00002729,00000120,00000116,00000000,00000338,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00051827,00001487,00000085,00000443,00001211,00007756,00034964,00000000,00000000,00000000,00000000,00000946,00000000,00004175,00001743,00000812,00000301,00000000,00000244,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00045359,00001921,00000154,00000543,00000259,00011520,00032883,00000000,00000000,00000000,00000000,00000489,00000000,00001069,00001847,00000436,00000259,00000000,00000309,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00127643,00003712,00000256,00001041,00000766,00024245,00066849,00000000,00000000,00000000,00000000,00001284,00000000,00002231,00001962,00001313,00000630,00000000,00000812,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00052977,00001572,00000146,00000467,00000445,00014515,00034949,00000000,00000000,00000001,00000000,00000440,00000000,00001375,00000964,00000445,00000255,00000000,00000260,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00076765,00003122,00000275,00000674,00001190,00017572,00032515,00000000,00000000,00000000,00000000,00000677,00000000,00003706,00002109,00000868,00000269,00000000,00000350,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00074349,00002487,00000162,00000736,00000083,00017096,00059646,00000000,00000000,00000000,00000000,00001128,00000000,00000153,00002502,00000874,00000421,00000000,00000287,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00157866,00003765,00000384,00001072,00000375,00056635,00071932,00000000,00000000,00000000,00000000,00000985,00000000,00000673,00003565,00000976,00000506,00000000,00001501,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00014577,00000781,00000095,00000278,00000025,00006005,00010175,00000000,00000000,00000000,00000000,00000067,00000000,00000025,00000466,00000120,00000071,00000000,00000107,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00047855,00002440,00000268,00000628,00000090,00015674,00033718,00000000,00000000,00000000,00000000,00000146,00000001,00000200,00001229,00000455,00000366,00000000,00000225,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00002550,00000162,00000027,00000073,00000000,00001424,00001283,00000000,00000000,00000000,00000000,00000009,00000000,00000003,00000108,00000011,00000007,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00012521,00000548,00000114,00000234,00000002,00008911,00007202,00000000,00000000,00000000,00000000,00000042,00000000,00000008,00000585,00000026,00000022,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00006743,00000310,00000045,00000108,00000006,00002687,00003752,00000000,00000000,00000000,00000000,00000036,00000000,00000022,00000246,00000059,00000032,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00001105,00000052,00000009,00000019,00000003,00000541,00000680,00000000,00000000,00000000,00000000,00000001,00000000,00000004,00000045,00000006,00000000,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00018570,00001081,00000152,00000305,00000005,00007923,00011460,00000000,00000000,00000000,00000000,00000115,00000000,00000023,00000671,00000105,00000036,00000000,00000074,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00040047,00001572,00000199,00000416,00000341,00011430,00026789,00000000,00000000,00000000,00000000,00000525,00000000,00001487,00001762,00000453,00000180,00000000,00000313,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00009940,00000240,00000030,00000087,00000064,00004154,00004272,00000000,00000000,00000000,00000000,00000104,00000000,00000200,00000211,00000114,00000027,00000000,00000103,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00044785,00001391,00000112,00000268,00000491,00008677,00033369,00000000,00000000,00000000,00000000,00000766,00000000,00001935,00001105,00000566,00000307,00000000,00000237,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00073676,00003167,00000203,00000955,00000310,00019858,00049052,00000000,00000000,00000000,00000000,00000613,00000000,00001007,00001621,00000680,00000478,00000000,00000454,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00051835,00001816,00000067,00000266,00001160,00006314,00019818,00000000,00000000,00000000,00000000,00000543,00000000,00002755,00000931,00000881,00000207,00000000,00000208,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00167704,00004758,00000337,00000854,00001896,00030628,00077825,00000000,00000000,00000000,00000000,00001802,00000000,00005296,00003671,00001997,00000710,00000000,00001031,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00085027,00002927,00000182,00000559,00000810,00016849,00058196,00000000,00000000,00000000,00000000,00001296,00000000,00002850,00003701,00001141,00000440,00000000,00000358,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00024490,00000776,00000021,00000148,00000235,00004064,00015395,00000000,00000000,00000000,00000000,00000413,00000000,00000612,00001033,00000282,00000080,00000000,00000096,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00047400,00001726,00000138,00000378,00000073,00013963,00033185,00000000,00000000,00000000,00000000,00000739,00000000,00000178,00002168,00000457,00000294,00000000,00000401,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00053528,00002276,00000204,00000494,00000186,00015082,00040742,00000000,00000000,00000000,00000000,00000699,00000000,00000566,00001857,00000625,00000300,00000000,00000321,00000000,00000000,00000000,                                                                                                                                        
R051,59TH STREET & LEXINGTON AVE   ,00071506,00003077,00000258,00000701,00000132,00023954,00055183,00000000,00000000,00000000,00000000,00000674,00000000,00000499,00002805,00000723,00000324,00000000,00000355,00000000,00000000,00000000,                                                                                                                                        
R052,WOODLAWN ROAD                 ,00012099,00000633,00000155,00000260,00000014,00005943,00006196,00000000,00000000,00000000,00000000,00000050,00000000,00000038,00000491,00000058,00000012,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R053,149TH STREET & 3RD AVENUE     ,00040632,00001422,00000296,00000771,00000001,00027508,00019479,00000000,00000000,00000000,00000000,00000103,00000000,00000013,00002004,00000044,00000037,00000000,00000162,00000000,00000000,00000000,                                                                                                                                        
R054,FIFTH AVENUE & 42ND STREET    ,00024601,00000936,00000056,00000219,00000109,00005618,00017418,00000000,00000000,00000000,00000000,00000342,00000000,00000113,00000623,00000239,00000127,00000000,00000129,00000000,00000000,00000000,                                                                                                                                        
R055,MAIN STREET                   ,00086851,00005798,00000535,00003172,00000021,00030041,00094394,00000000,00000000,00000000,00000000,00000501,00000000,00000144,00002571,00000394,00000152,00000000,00000280,00000000,00000000,00000000,                                                                                                                                        
