     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,09/03/2011-09/09/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00074775,00002028,00000291,00000812,00000411,00024121,00034227,00000000,00000000,00000000,00000000,00000767,00000000,00000800,00002050,00000696,00000185,00000000,00000784,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00015601,00000444,00000045,00000143,00000039,00003831,00010454,00000000,00000000,00000000,00000000,00000197,00000000,00000053,00000471,00000129,00000073,00000000,00000109,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003839,00000133,00000029,00000025,00000003,00001623,00001213,00000000,00000000,00000000,00000000,00000016,00000000,00000011,00000093,00000006,00000001,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00009985,00000308,00000031,00000121,00000003,00003345,00003956,00000000,00000000,00000000,00000000,00000053,00000000,00000000,00000209,00000022,00000011,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00010203,00000377,00000029,00000130,00000001,00003343,00005404,00000000,00000000,00000000,00000000,00000046,00000000,00000002,00000146,00000010,00000026,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00010084,00000389,00000069,00000108,00000002,00004734,00005609,00000000,00000000,00000000,00000000,00000084,00000000,00000013,00000194,00000049,00000020,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00007300,00000226,00000038,00000062,00000000,00002532,00003038,00000000,00000000,00000000,00000000,00000046,00000000,00000005,00000104,00000020,00000011,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006917,00000181,00000032,00000057,00000004,00002407,00002514,00000000,00000000,00000000,00000000,00000019,00000000,00000005,00000108,00000020,00000012,00000000,00000038,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005633,00000191,00000031,00000058,00000006,00002516,00002376,00000000,00000000,00000000,00000000,00000008,00000000,00000003,00000103,00000034,00000015,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00091797,00002716,00000340,00000895,00000149,00035778,00044891,00000000,00000001,00000000,00000000,00000402,00000000,00000175,00001721,00000605,00000351,00000000,00001406,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00224911,00007634,00000549,00001469,00000120,00031109,00065867,00000000,00000000,00000000,00000000,00001705,00000000,00000126,00002217,00002299,00000493,00000000,00001243,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00194499,00006084,00000457,00001309,00005011,00032270,00064133,00000000,00000000,00000000,00000000,00001498,00000000,00007300,00002335,00002590,00000547,00000000,00001433,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00047151,00001640,00000174,00000577,00001242,00012383,00028594,00000000,00000000,00000000,00000000,00000390,00000000,00002570,00000797,00000553,00000235,00000000,00000437,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00085370,00002254,00000181,00000487,00000814,00020341,00047647,00000000,00000000,00000000,00000000,00000910,00000000,00001996,00002053,00000957,00000406,00000000,00000706,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00058123,00001501,00000054,00000188,00001272,00007770,00022331,00000000,00000000,00000000,00000000,00001328,00000000,00002063,00001653,00001092,00000244,00000000,00000349,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00022940,00000780,00000042,00000164,00000090,00005650,00013254,00000000,00000000,00000000,00000000,00000323,00000000,00000140,00000610,00000235,00000134,00000000,00000214,00000000,00000000,00000000,                                                                                                                                        
