     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,08/11/2012-08/17/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R001,WHITEHALL STREET              ,00084939,00002744,00000271,00000891,00000399,00029731,00036100,00000000,00000000,00000000,00000000,00000664,00000000,00000844,00002454,00000928,00000261,00000000,00000867,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003796,00000148,00000024,00000033,00000000,00001751,00001083,00000000,00000000,00000000,00000000,00000015,00000000,00000011,00000077,00000007,00000004,00000000,00000004,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00009553,00000312,00000027,00000139,00000000,00003721,00004103,00000000,00000000,00000000,00000000,00000046,00000000,00000000,00000231,00000011,00000018,00000000,00000044,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00010482,00000438,00000072,00000140,00000002,00003739,00005048,00000000,00000000,00000000,00000000,00000042,00000000,00000003,00000179,00000036,00000038,00000000,00000025,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009906,00000455,00000066,00000155,00000000,00005546,00005151,00000000,00000000,00000000,00000000,00000095,00000000,00000011,00000232,00000039,00000029,00000000,00000046,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00007488,00000263,00000032,00000037,00000004,00002780,00002789,00000000,00000000,00000000,00000000,00000026,00000000,00000011,00000088,00000012,00000011,00000000,00000028,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00006838,00000223,00000042,00000049,00000000,00002448,00002136,00000000,00000000,00000000,00000000,00000017,00000000,00000003,00000131,00000031,00000012,00000000,00000041,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00005638,00000192,00000051,00000048,00000013,00002562,00002376,00000000,00000000,00000000,00000000,00000005,00000000,00000006,00000106,00000030,00000011,00000000,00000017,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00105980,00003385,00000396,00001039,00000154,00043839,00050695,00000000,00000000,00000000,00000000,00000436,00000000,00000230,00002278,00000887,00000533,00000000,00001567,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00230701,00008164,00000568,00001509,00000103,00035138,00067841,00000000,00000000,00000000,00000000,00001282,00000000,00000141,00002812,00002759,00000667,00000000,00001352,00000000,00000000,00000000,00000000,                                                                                                                               
