     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/09/2013-03/15/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00036959,00001453,00000166,00000583,00000049,00014423,00020742,00000000,00000001,00000000,00000181,00000498,00000313,00000121,00001619,00000464,00000185,00000000,00000437,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003691,00000219,00000022,00000033,00000007,00002028,00001445,00000000,00000000,00000000,00000001,00000019,00000052,00000006,00000066,00000009,00000001,00000000,00000009,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00009329,00000414,00000037,00000111,00000001,00004345,00004609,00000000,00000000,00000000,00000007,00000074,00000106,00000005,00000252,00000018,00000020,00000000,00000061,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00010166,00000533,00000035,00000132,00000001,00004204,00005712,00000000,00000000,00000000,00000008,00000052,00000078,00000001,00000210,00000040,00000046,00000000,00000032,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00010295,00000523,00000044,00000139,00000000,00005927,00006267,00000000,00000000,00000000,00000015,00000085,00000111,00000016,00000266,00000067,00000052,00000000,00000048,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00007405,00000288,00000035,00000069,00000006,00003154,00003453,00000000,00000000,00000000,00000002,00000049,00000039,00000005,00000119,00000030,00000024,00000000,00000049,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00006628,00000222,00000021,00000046,00000004,00003018,00002879,00000000,00000000,00000000,00000001,00000025,00000054,00000006,00000139,00000037,00000012,00000000,00000023,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00005239,00000255,00000018,00000066,00000012,00002916,00002738,00000000,00000000,00000000,00000000,00000027,00000031,00000008,00000094,00000042,00000018,00000000,00000024,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00095684,00004326,00000290,00001085,00000144,00042673,00057803,00000000,00000000,00000000,00000186,00000542,00000532,00000205,00003316,00001155,00000596,00000000,00001706,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00255336,00009712,00000380,00001423,00000143,00036589,00076759,00000000,00000000,00000000,00000195,00002045,00002102,00000133,00003485,00003985,00000869,00000000,00001538,00000000,00000000,00000000,00000000,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00222143,00008278,00000490,00001487,00005348,00039985,00080730,00000000,00000000,00000000,00000543,00001650,00001387,00007835,00003766,00004389,00000926,00000000,00001880,00000000,00000000,00000000,00000000,                                                                                                                               
