     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/02/2012-06/08/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R001,WHITEHALL STREET              ,00076560,00002590,00000324,00000970,00000522,00026174,00040079,00000000,00000000,00000000,00000000,00000810,00000000,00000887,00002643,00000966,00000276,00000000,00000698,00000000,00000000,00000000,00002898,                                                                                                                               
R002,FULTON ST & BROADWAY NASSAU   ,00015251,00000427,00000040,00000124,00000026,00004655,00010796,00000000,00000000,00000000,00000000,00000149,00000000,00000053,00000524,00000143,00000094,00000000,00000149,00000000,00000000,00000000,00000577,                                                                                                                               
R003,CYPRESS HILLS                 ,00002972,00000099,00000017,00000025,00000004,00001360,00001012,00000000,00000000,00000000,00000000,00000012,00000000,00000006,00000060,00000012,00000005,00000000,00000011,00000000,00000000,00000000,00000785,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00007775,00000241,00000028,00000104,00000000,00002840,00003388,00000000,00000000,00000000,00000000,00000053,00000000,00000007,00000199,00000017,00000021,00000000,00000019,00000000,00000000,00000000,00003806,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00008524,00000413,00000040,00000134,00000001,00002994,00004525,00000000,00000000,00000000,00000000,00000043,00000000,00000001,00000166,00000034,00000029,00000000,00000022,00000000,00000000,00000000,00001909,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00008732,00000363,00000041,00000148,00000000,00004194,00004731,00000000,00000000,00000000,00000000,00000085,00000000,00000011,00000192,00000029,00000026,00000000,00000035,00000000,00000000,00000000,00001847,                                                                                                                               
R007,104TH STREET                  ,00006181,00000224,00000031,00000043,00000001,00002320,00002614,00000000,00000000,00000000,00000000,00000039,00000000,00000007,00000100,00000014,00000010,00000000,00000018,00000000,00000000,00000000,00001244,                                                                                                                               
R008,111TH STREET                  ,00005691,00000189,00000030,00000052,00000001,00002062,00002092,00000000,00000000,00000000,00000000,00000015,00000000,00000005,00000082,00000032,00000009,00000000,00000026,00000000,00000000,00000000,00002365,                                                                                                                               
R009,121ST STREET                  ,00004752,00000160,00000032,00000043,00000008,00002080,00002215,00000000,00000000,00000000,00000000,00000006,00000000,00000008,00000079,00000046,00000011,00000000,00000026,00000000,00000000,00000000,00000838,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00101593,00003963,00000434,00001123,00000158,00041568,00057142,00000000,00000000,00000000,00000000,00000492,00000000,00000230,00002304,00000890,00000605,00000000,00001356,00000000,00000000,00000000,00003248,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00237704,00008798,00000572,00001552,00000135,00033562,00074349,00000000,00000000,00000000,00000000,00001443,00000000,00000155,00002689,00003110,00000638,00000000,00001158,00000000,00000000,00000000,00001969,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00218077,00007909,00000593,00001606,00005498,00037425,00078391,00000000,00000000,00000000,00000000,00001399,00000000,00008060,00003113,00003531,00000755,00000000,00001591,00000000,00000000,00000000,00003052,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00056473,00002167,00000175,00000688,00001521,00014362,00035934,00000000,00000000,00000000,00000000,00000425,00000000,00002947,00001097,00000791,00000289,00000000,00000510,00000000,00000000,00000000,00000975,                                                                                                                               
R014,FULTON STREET                 ,00100919,00002727,00000269,00000500,00000923,00023631,00058579,00000000,00000000,00000000,00000000,00000925,00000000,00002191,00002525,00001481,00000535,00000000,00000691,00000000,00000000,00000000,00002737,                                                                                                                               
R015,FIFTH AVENUE                  ,00080225,00002500,00000090,00000417,00001470,00012981,00033151,00000000,00000000,00000000,00000000,00001403,00000000,00002272,00002340,00001742,00000355,00000000,00000651,00000000,00000000,00000000,00000644,                                                                                                                               
R016,LEXINGTON AVENUE              ,00022245,00000936,00000043,00000224,00000109,00005387,00014971,00000000,00000000,00000000,00000000,00000321,00000000,00000179,00000711,00000339,00000147,00000000,00000161,00000000,00000000,00000000,00000284,                                                                                                                               
R017,LEXINGTON AVENUE              ,00104084,00004975,00000262,00000899,00001169,00018481,00060516,00000000,00000000,00000000,00000000,00001552,00000000,00001943,00003103,00002146,00000625,00000000,00000850,00000000,00000000,00000000,00002473,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00107362,00007458,00000835,00003070,00000025,00052967,00116309,00000000,00000000,00000000,00000000,00000452,00000000,00000086,00004694,00000578,00000410,00000000,00000469,00000000,00000000,00000000,00007903,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00036788,00001862,00000255,00000965,00000006,00017385,00031412,00000000,00000000,00000000,00000000,00000447,00000000,00000029,00002506,00000304,00000121,00000000,00000127,00000000,00000000,00000000,00003796,                                                                                                                               
R020,47-50 STREETS/ROCKEFELLER     ,00163039,00006855,00000410,00001351,00000804,00041533,00103480,00000000,00000000,00000000,00000000,00002427,00000000,00001133,00005584,00002327,00000945,00000000,00000910,00000000,00000000,00000000,00003076,                                                                                                                               
R021,42ND STREET & 6TH AVENUE      ,00104131,00004089,00000314,00001145,00000178,00028249,00081911,00000000,00000000,00000000,00000000,00001672,00000000,00000203,00004869,00001487,00000754,00000000,00000647,00000000,00000000,00000000,00001889,                                                                                                                               
R022,34TH STREET & 6TH AVENUE      ,00189624,00008075,00000661,00001881,00000873,00062826,00126156,00000000,00000000,00000000,00000000,00001616,00000000,00001176,00006453,00001680,00000861,00000000,00001232,00000000,00000000,00000000,00005727,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00161114,00005601,00000539,00001452,00000673,00033190,00088254,00000000,00000001,00000000,00000000,00001782,00000000,00001158,00003293,00002169,00000866,00000000,00000775,00000000,00000000,00000000,00002665,                                                                                                                               
R024,SUTPHIN BOULEVARD             ,00050819,00002037,00000327,00000611,00000422,00024553,00024047,00000000,00000000,00000000,00000000,00000129,00000000,00000638,00001339,00000272,00000082,00000000,00008045,00000000,00000000,00000000,00002398,                                                                                                                               
R025,JAMAICA CENTER-PARSONS BLVD   ,00068721,00001851,00000608,00001266,00000025,00045438,00041964,00000000,00000000,00000000,00000000,00000216,00000000,00000037,00003385,00000157,00000138,00000000,00000457,00000000,00000000,00000000,00006724,                                                                                                                               
R027,WALL STREET                   ,00071620,00002193,00000118,00000475,00002511,00011675,00047184,00000000,00000000,00000000,00000000,00000939,00000000,00005156,00002393,00001306,00000452,00000000,00000371,00000000,00000000,00000000,00001216,                                                                                                                               
R028,FULTON & WILLIAM STREETS      ,00063966,00002902,00000229,00000769,00000635,00018098,00045977,00000000,00000001,00000000,00000000,00000577,00000000,00001250,00002628,00000720,00000443,00000000,00000473,00000000,00000000,00000000,00002631,                                                                                                                               
R029,PARK PLACE                    ,00162378,00005265,00000502,00001239,00001528,00030970,00084582,00000000,00000000,00000000,00000000,00001484,00000000,00002766,00002821,00002103,00000953,00000000,00001295,00000000,00000000,00000000,00006129,                                                                                                                               
R030,CHAMBERS STREET               ,00055089,00002225,00000144,00000593,00000845,00013506,00037909,00000000,00000000,00000000,00000000,00000589,00000000,00001720,00001283,00000751,00000328,00000000,00000286,00000000,00000000,00000000,00009036,                                                                                                                               
R031,34TH STREET & 7TH AVENUE      ,00107501,00004916,00000359,00000979,00002409,00024788,00044008,00000000,00000000,00000000,00000000,00000810,00000000,00005012,00002711,00001818,00000489,00000000,00000606,00000000,00000000,00000000,00002658,                                                                                                                               
R032,42ND STREET/TIMES SQUARE      ,00094530,00003427,00000303,00000853,00000206,00023425,00073802,00000000,00000000,00000000,00000000,00001271,00000000,00000216,00003453,00001374,00000609,00000000,00000432,00000000,00000000,00000000,00001100,                                                                                                                               
R033,42ND STREET/TIMES SQUARE      ,00211179,00006925,00000598,00001700,00000728,00082222,00103390,00000000,00000000,00000000,00000000,00001286,00000000,00000949,00004793,00001825,00000816,00000000,00002065,00000000,00000000,00000000,00006370,                                                                                                                               
R034,125TH STREET & BROADWAY       ,00018511,00001153,00000139,00000357,00000030,00008998,00016380,00000000,00000000,00000000,00000000,00000066,00000000,00000030,00000733,00000227,00000097,00000000,00000143,00000000,00000000,00000000,00002844,                                                                                                                               
R035,168TH STREET & BROADWAY       ,00060050,00003524,00000388,00000843,00000151,00022822,00045525,00000000,00000000,00000000,00000000,00000166,00000000,00000304,00001620,00000655,00000556,00000000,00000316,00000000,00000000,00000000,00006605,                                                                                                                               
R036,DYCKMAN STREET                ,00003003,00000240,00000050,00000116,00000000,00001978,00001822,00000000,00000000,00000000,00000000,00000016,00000000,00000007,00000100,00000005,00000011,00000000,00000003,00000000,00000000,00000000,00000645,                                                                                                                               
R037,207TH STREET                  ,00014887,00000911,00000165,00000285,00000003,00012732,00009939,00000000,00000000,00000000,00000000,00000032,00000000,00000014,00000714,00000047,00000034,00000000,00000035,00000000,00000000,00000000,00003093,                                                                                                                               
R038,215TH STREET                  ,00004988,00000318,00000039,00000126,00000001,00002030,00003266,00000000,00000000,00000000,00000000,00000032,00000000,00000000,00000149,00000057,00000031,00000000,00000016,00000000,00000000,00000000,00000607,                                                                                                                               
R039,225TH STREET                  ,00012945,00000706,00000105,00000204,00000024,00007060,00007716,00000000,00000000,00000000,00000000,00000045,00000000,00000073,00000539,00000104,00000034,00000000,00000036,00000000,00000000,00000000,00002318,                                                                                                                               
R040,231ST STREET                  ,00019839,00001470,00000226,00000486,00000005,00010076,00013799,00000000,00000000,00000000,00000000,00000093,00000000,00000010,00000791,00000191,00000094,00000000,00000062,00000000,00000000,00000000,00002743,                                                                                                                               
R041,BOWLING GREEN & BATTERY PL    ,00051783,00002289,00000209,00000518,00000782,00015133,00033696,00000000,00000000,00000000,00000000,00000606,00000000,00001911,00002312,00000742,00000242,00000000,00000309,00000000,00000000,00000000,00004260,                                                                                                                               
R042,BOWLING GREEN & BROADWAY      ,00011497,00000315,00000021,00000077,00000160,00005326,00005100,00000000,00000000,00000000,00000000,00000093,00000000,00000283,00000286,00000133,00000044,00000000,00000143,00000000,00000000,00000000,00000453,                                                                                                                               
R043,WALL STREET                   ,00063181,00002271,00000124,00000383,00000963,00013003,00043870,00000000,00000000,00000000,00000000,00000769,00000000,00002643,00001522,00001038,00000471,00000000,00000423,00000000,00000000,00000000,00001896,                                                                                                                               
R044,BROOKLYN BRIDGE               ,00095242,00004688,00000322,00001258,00000523,00026429,00063602,00000000,00000000,00000000,00000000,00000704,00000000,00001493,00002306,00001131,00000750,00000000,00000628,00000000,00000000,00000000,00008127,                                                                                                                               
R045,42ND STREET & GRAND CENTRAL   ,00082766,00003183,00000104,00000411,00002502,00009632,00028938,00000000,00000000,00000000,00000000,00000677,00000000,00004014,00001196,00001609,00000317,00000000,00000259,00000000,00000000,00000000,00000690,                                                                                                                               
R046,42ND STREET & GRAND CENTRAL   ,00234656,00008571,00000474,00001252,00004153,00044979,00109398,00000000,00000000,00000000,00000000,00002103,00000000,00007485,00004706,00003435,00001076,00000000,00001414,00000000,00000000,00000000,00001832,                                                                                                                               
R047,42ND STREET & GRAND CENTRAL   ,00112262,00004547,00000237,00000795,00001570,00023278,00077699,00000000,00000000,00000000,00000000,00001441,00000000,00004160,00004565,00002113,00000712,00000000,00000448,00000000,00000000,00000000,00001302,                                                                                                                               
R048,42ND STREET & 3RD AVENUE      ,00032676,00001106,00000040,00000194,00000531,00004830,00019816,00000000,00000000,00000000,00000000,00000366,00000000,00000836,00001321,00000658,00000210,00000000,00000124,00000000,00000000,00000000,00000264,                                                                                                                               
R049,51ST STREET & LEXINGTON AVE   ,00069181,00003050,00000182,00000557,00000161,00019102,00044809,00000000,00000000,00000000,00000000,00000976,00000000,00000288,00002903,00000952,00000450,00000000,00000666,00000000,00000000,00000000,00000622,                                                                                                                               
R050,59TH STREET & LEXINGTON AVE   ,00073618,00003706,00000259,00000695,00000397,00021219,00054212,00000000,00000000,00000000,00000000,00000806,00000000,00000797,00002592,00001158,00000400,00000000,00000424,00000000,00000000,00000000,00001582,                                                                                                                               
R051,59TH STREET & LEXINGTON AVE   ,00094909,00004861,00000360,00000942,00000264,00034547,00075619,00000000,00000000,00000000,00000000,00000828,00000000,00000624,00003911,00001356,00000637,00000000,00000502,00000000,00000000,00000000,00004651,                                                                                                                               
R052,WOODLAWN ROAD                 ,00011549,00000700,00000168,00000301,00000003,00006848,00006415,00000000,00000000,00000000,00000000,00000041,00000000,00000010,00000465,00000060,00000017,00000000,00000038,00000000,00000000,00000000,00001107,                                                                                                                               
R053,149TH STREET & 3RD AVENUE     ,00048656,00002012,00000508,00000991,00000012,00039295,00025851,00000000,00000000,00000000,00000000,00000120,00000000,00000015,00002488,00000049,00000072,00000000,00000202,00000000,00000000,00000000,00009450,                                                                                                                               
R054,FIFTH AVENUE & 42ND STREET    ,00031398,00001440,00000088,00000317,00000178,00007848,00021673,00000000,00000000,00000000,00000000,00000377,00000000,00000170,00000885,00000448,00000168,00000000,00000183,00000000,00000000,00000000,00000625,                                                                                                                               
R055,MAIN STREET                   ,00103674,00007793,00000725,00004232,00000016,00040331,00115037,00000000,00000000,00000000,00000001,00000520,00000000,00000094,00003162,00000566,00000257,00000000,00000374,00000000,00000000,00000000,00011784,                                                                                                                               
R056,NEVINS STREET                 ,00026466,00001649,00000230,00000524,00000025,00012902,00016881,00000000,00000000,00000000,00000000,00000080,00000000,00000050,00000958,00000155,00000104,00000000,00000148,00000000,00000000,00000000,00003519,                                                                                                                               
R057,BARCLAYS CENTER               ,00089065,00004182,00000501,00001288,00002636,00029877,00061104,00000000,00000000,00000000,00000000,00000460,00000000,00004852,00002550,00001015,00000515,00000000,00000443,00000000,00000000,00000000,00012416,                                                                                                                               
R058,BERGEN STREET                 ,00010754,00000547,00000083,00000108,00000002,00003492,00011192,00000000,00000000,00000000,00000000,00000096,00000000,00000016,00000529,00000161,00000125,00000000,00000060,00000000,00000000,00000000,00001058,                                                                                                                               
R059,GRAND ARMY PLAZA              ,00019679,00001880,00000117,00000420,00000010,00005164,00018805,00000000,00000000,00000000,00000000,00000235,00000000,00000042,00001093,00000276,00000212,00000000,00000107,00000000,00000000,00000000,00002453,                                                                                                                               
R060,EASTERN PARKWAY               ,00012846,00000971,00000107,00000262,00000009,00004810,00012550,00000000,00000000,00000000,00000000,00000089,00000000,00000021,00000786,00000094,00000157,00000000,00000112,00000000,00000000,00000000,00002765,                                                                                                                               
R061,NOSTRAND AVENUE               ,00009397,00000513,00000112,00000150,00000001,00005711,00006320,00000000,00000000,00000000,00000000,00000041,00000000,00000006,00000390,00000024,00000033,00000000,00000034,00000000,00000000,00000000,00002466,                                                                                                                               
R062,UTICA AVENUE                  ,00055224,00002509,00000626,00001291,00000011,00036697,00035404,00000000,00000000,00000000,00000000,00000204,00000001,00000051,00002728,00000096,00000174,00000000,00000292,00000000,00000000,00000000,00008842,                                                                                                                               
R063,SUTTER AVENUE                 ,00019311,00000795,00000162,00000305,00000007,00011246,00007688,00000000,00000000,00000000,00000000,00000040,00000000,00000017,00000690,00000027,00000033,00000000,00000083,00000000,00000000,00000000,00003907,                                                                                                                               
R064,SARATOGA AVENUE               ,00015544,00000534,00000100,00000178,00000002,00007813,00006209,00000000,00000000,00000000,00000000,00000024,00000000,00000005,00000493,00000025,00000039,00000000,00000028,00000000,00000000,00000000,00003307,                                                                                                                               
R065,ROCKAWAY AVENUE               ,00014928,00000572,00000157,00000192,00000002,00007830,00005147,00000000,00000000,00000000,00000000,00000013,00000000,00000011,00000398,00000008,00000014,00000000,00000023,00000000,00000000,00000000,00003695,                                                                                                                               
