     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,07/02/2011-07/08/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00091891,00002417,00000338,00000863,00000452,00028358,00040092,00000000,00000000,00000000,00000404,00000765,00000000,00000926,00002101,00000693,00000201,00000000,00000964,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00016149,00000433,00000040,00000138,00000086,00003755,00011369,00000000,00000000,00000000,00000044,00000228,00000000,00000160,00000478,00000114,00000084,00000000,00000110,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003666,00000101,00000020,00000032,00000000,00001567,00001096,00000000,00000000,00000000,00000000,00000027,00000000,00000009,00000096,00000017,00000006,00000000,00000004,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008906,00000260,00000020,00000115,00000003,00003203,00003939,00000000,00000000,00000000,00000003,00000043,00000000,00000000,00000201,00000020,00000007,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009621,00000397,00000020,00000155,00000004,00003367,00004980,00000000,00000000,00000000,00000008,00000039,00000000,00000000,00000146,00000028,00000016,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009931,00000404,00000060,00000143,00000002,00004531,00005432,00000000,00000000,00000000,00000007,00000064,00000000,00000006,00000168,00000017,00000025,00000000,00000044,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006911,00000225,00000043,00000039,00000002,00002442,00002964,00000000,00000000,00000000,00000002,00000050,00000000,00000003,00000109,00000015,00000012,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006337,00000187,00000032,00000063,00000002,00002216,00002317,00000000,00000000,00000000,00000003,00000035,00000000,00000008,00000102,00000013,00000008,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005519,00000164,00000047,00000064,00000003,00002320,00002297,00000000,00000000,00000000,00000006,00000012,00000000,00000010,00000097,00000039,00000007,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00102725,00003177,00000361,00001036,00000138,00037522,00051067,00000000,00000000,00000000,00000179,00000473,00000000,00000198,00001893,00000611,00000338,00000000,00001211,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00211232,00007759,00000566,00001557,00000095,00030288,00067329,00000000,00000000,00000000,00000190,00001585,00000000,00000139,00002308,00001876,00000482,00000000,00001033,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00195658,00006123,00000447,00001456,00004286,00032691,00073215,00000000,00000000,00000000,00000391,00001431,00000000,00006850,00002629,00002175,00000573,00000000,00001480,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00048712,00001686,00000180,00000694,00001013,00012336,00031149,00000000,00000000,00000000,00000182,00000367,00000000,00002448,00000800,00000480,00000240,00000000,00000402,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00075106,00001976,00000152,00000488,00000806,00016943,00046156,00000000,00000000,00000000,00000317,00000898,00000000,00002007,00001849,00000909,00000360,00000000,00000466,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00059817,00001622,00000081,00000267,00001149,00010248,00024950,00000000,00000000,00000000,00000172,00001283,00000000,00001850,00001795,00000969,00000210,00000000,00000509,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00017248,00000588,00000038,00000162,00000088,00004401,00011657,00000000,00000000,00000000,00000044,00000285,00000000,00000132,00000570,00000204,00000101,00000000,00000133,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00083308,00003437,00000216,00000726,00000884,00015439,00048823,00000000,00000000,00000000,00000171,00001353,00000000,00001607,00002125,00001153,00000369,00000000,00000657,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00097337,00005861,00000777,00002686,00000022,00044907,00107394,00000000,00000000,00000000,00000078,00000373,00000000,00000065,00003799,00000324,00000265,00000000,00000420,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00032782,00001498,00000234,00000896,00000002,00014146,00026979,00000000,00000000,00000000,00000057,00000309,00000000,00000038,00001959,00000161,00000058,00000000,00000152,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00127427,00003927,00000291,00000975,00000628,00034531,00081863,00000000,00000000,00000000,00000354,00002071,00000000,00000892,00003935,00001334,00000551,00000000,00000758,00000000,00000000,00000000,                                                                                                                                        
