     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,02/04/2012-02/10/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R001,WHITEHALL STREET              ,00060498,00001994,00000326,00000800,00000463,00016918,00038121,00000000,00000000,00000000,00000000,00000912,00000000,00001020,00002656,00000868,00000215,00000000,00000370,00000000,00000000,00000000,00003756,                                                                                                                               
R002,FULTON ST & BROADWAY NASSAU   ,00016332,00000553,00000046,00000133,00000031,00003151,00010629,00000000,00000000,00000000,00000000,00000200,00000000,00000071,00000404,00000159,00000067,00000000,00000081,00000000,00000000,00000000,00000904,                                                                                                                               
R003,CYPRESS HILLS                 ,00003842,00000146,00000019,00000015,00000000,00001889,00001373,00000000,00000000,00000000,00000000,00000012,00000000,00000015,00000073,00000011,00000000,00000000,00000002,00000000,00000000,00000000,00000983,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00009733,00000284,00000041,00000162,00000000,00003883,00004397,00000000,00000000,00000000,00000000,00000045,00000000,00000008,00000273,00000024,00000021,00000000,00000020,00000000,00000000,00000000,00004756,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00010779,00000468,00000043,00000164,00000000,00003721,00005744,00000000,00000000,00000000,00000000,00000038,00000000,00000002,00000215,00000031,00000039,00000000,00000027,00000000,00000000,00000000,00002190,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00010543,00000402,00000026,00000174,00000001,00005282,00006066,00000000,00000000,00000000,00000000,00000071,00000000,00000011,00000236,00000048,00000026,00000000,00000037,00000000,00000000,00000000,00001982,                                                                                                                               
R007,104TH STREET                  ,00007389,00000280,00000054,00000057,00000004,00002823,00003476,00000000,00000000,00000000,00000000,00000029,00000000,00000009,00000114,00000024,00000014,00000000,00000010,00000000,00000000,00000000,00001393,                                                                                                                               
R008,111TH STREET                  ,00006817,00000225,00000034,00000054,00000004,00002635,00002885,00000000,00000000,00000000,00000000,00000038,00000000,00000007,00000132,00000033,00000008,00000000,00000017,00000000,00000000,00000000,00003154,                                                                                                                               
R009,121ST STREET                  ,00005659,00000191,00000045,00000050,00000013,00002831,00002972,00000000,00000000,00000000,00000000,00000009,00000000,00000008,00000126,00000040,00000016,00000000,00000013,00000000,00000000,00000000,00001015,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00082876,00003449,00000384,00001086,00000161,00028677,00054314,00000000,00000000,00000000,00000000,00000474,00000000,00000245,00002221,00000684,00000493,00000000,00000859,00000000,00000000,00000000,00002777,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00233001,00007943,00000569,00001443,00000158,00028959,00076138,00000000,00000000,00000000,00000000,00001792,00000000,00000134,00002528,00003180,00000587,00000000,00000869,00000000,00000000,00000000,00001736,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00209729,00006845,00000538,00001496,00005665,00032150,00078960,00000000,00000000,00000000,00000000,00001497,00000000,00008909,00002975,00003451,00000746,00000000,00001102,00000000,00000000,00000000,00002988,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00052416,00002060,00000185,00000691,00001563,00012127,00035528,00000000,00000000,00000000,00000000,00000452,00000000,00003102,00001103,00000699,00000259,00000000,00000244,00000000,00000000,00000000,00000996,                                                                                                                               
